pH,Digestates,Feedstock,DM,OM,TOC,TOC_TN,TN,NH4_N,NH4_TN
7.6,4,1,75,846,470,16.1,29.2,15.5,53.1
7.4,4,2,75,666,370,5.2,71.4,32.8,45.9
7.9,4,2,75,801,445,8,55.6,21.1,37.9
7.6,4,1,75,876,486.6,14.6,33.4,12.2,36.5
8,4,1,75,768,426.6,8.4,50.8,17.6,34.6
7.8,4,1,74.7,803,446.1,8,55.7,41.4,74.3
7.9,4,1,74.3,784,435.5,7.6,57.3,40.3,70.3
8.2,4,2,74,554,307.7,5.8,53.5,39.3,73.5
7.8,4,1,74,726,403.3,7,57.3,35.7,62.3
8,4,1,74,740,411.1,4.5,91.9,55.9,60.8
8.8,4,3,74,712,395.5,9.5,41.6,25,60.1
8.3,5,1,74,599,332.7,4,84.1,49.9,59.3
8,4,1,74,808,448.8,8.1,55.3,29.1,52.6
8,4,1,74,809,449.4,8.1,55.4,28.7,51.8
7.7,4,1,74,812,451.1,8.3,54.2,27.9,51.5
7.9,4,1,74,800,444.4,8.3,53.8,27.1,50.4
8,4,2,74,655,363.9,3.1,117,57.1,48.8
7.7,5,1,74,688,382.2,4.7,81.2,37.3,45.9
7.8,5,1,74,790,438.8,5.5,80.4,36.1,44.9
7.6,5,1,74,744,413.3,5.7,72,32.1,44.6
8.4,4,1,74,770.3,427.9,7,60.8,27,44.4
8.2,4,1,74,732.3,406.8,3.4,119,52.7,44.3
7.7,4,2,74,597,331.6,4.2,78.6,33,42
8,4,1,74,785,436.1,9.7,45,15,33.3
7.5,4,2,74,814,452.2,8.1,56.1,14.9,26.6
7.9,4,2,73.8,647.7,359.8,4.3,83.3,41.5,49.8
8,5,1,73.5,713,396.1,3.5,112,63.8,57
8.2,5,2,73.1,709,393.8,5.9,67.3,32.9,48.9
8.1,4,1,73.1,781,433.8,6.3,69.4,32.1,46.3
7.8,4,2,73,741,411.6,6,68.9,62.1,90.1
8,4,1,73,479,266.1,4.6,57.5,31.5,54.8
8.2,4,2,73,657,365,3.2,114,60.4,53
8,4,1,73,755,419.4,5.4,77.3,39.3,50.8
8.2,4,1,73,833,462.7,9.9,46.9,21.6,46.1
8.1,4,1,73,806,447.7,8.4,53.3,23.3,43.7
7.8,4,2,73,849,471.6,8.7,54.2,20.5,37.8
8.1,4,1,73,786,436.6,7.9,55.5,19.1,34.4
8.2,4,1,72.9,795,441.6,6.3,70.1,31.7,45.2
7.9,4,1,72.8,790,438.8,7.4,59.1,27.6,46.7
8.4,4,1,72.2,691.1,383.9,4.4,87.3,41.6,47.7
7.9,4,1,72.1,781,433.8,7.3,59.7,28.1,47.1
8.3,4,3,72,605,336.1,3.1,107,64.2,60
8.1,5,1,72,531,295,4.1,71.1,38.8,54.6
7.5,4,1,72,739,410.5,6.4,64,31.7,49.5
7.7,5,1,72,677,376.1,4.5,83.2,39.9,48
7.3,4,1,72,860,477.7,12.8,37.3,15.3,41
7.7,4,1,71.8,814,452.2,6.4,70.9,25.3,35.7
8.5,4,1,71.5,614,341.1,2.3,149.7,76.9,51.4
8.1,4,2,71.5,566.4,314.6,3.6,88,39.4,44.8
8,4,3,71,797,442.7,9,49.3,42.7,86.6
8.4,4,2,71,736,408.8,3.7,112,75.5,67.4
7.9,4,2,71,812,451.1,3.9,117,68.6,58.6
7.7,4,1,71,795,441.6,7.8,56.8,30.3,53.3
7.5,5,1,71,689,382.7,4.7,81.5,42.7,52.4
8.8,4,2,71,592,328.9,2.5,130,63.8,49.1
8.2,4,2,71,612,340,3.4,99.4,48,48.3
8.1,4,2,71,674,374.4,2.7,139,66.6,47.9
8.2,4,2,71,721,400.5,3.7,108,51.4,47.6
7.6,5,1,71,721,400.5,4.7,85.1,35.1,41.2
7.4,4,1,71,822,456.6,9.5,48,18.4,38.3
7.5,4,2,71,810,450,7.6,59.3,22.3,37.6
8.6,4,2,71,763,423.8,7.4,57.6,21.1,36.6
8,4,1,71,758,421.1,8.1,52.3,19.1,36.5
8.2,4,1,70.7,769.4,427.4,7.4,58,19.8,34.1
8.1,4,1,70.5,714.9,397.1,6.1,65.2,21.3,32.7
8.5,4,1,70.4,730.1,405.6,7.3,55.4,19.9,35.9
7.9,4,2,70,659,366.1,3.7,98.6,78,79.1
8.4,4,2,70,722,401.1,3.4,116.5,83.9,72
8.2,4,3,70,407,226.1,2.8,82.1,55,67
7.9,4,1,70,770,427.7,8.4,51.1,33.4,65.4
7.7,4,2,70,781,433.8,4.9,88.9,58,65.2
7.7,4,1,70,688,382.2,6.1,63.1,39.1,62
7.7,4,2,70,788,437.7,7.3,60,32.6,54.3
8.4,4,3,70,798,443.3,9.8,45.3,23.9,52.8
8.3,4,1,70,720,400,6.2,64.3,28.6,44.5
7.8,4,1,70,806,447.7,8.2,54.6,23.7,43.4
7.6,4,2,70,732,406.6,4.2,97,38.1,39.3
7.8,4,1,70,805,447.2,8.7,51.3,20.1,39.2
7.9,4,1,70,800,444.4,7.9,56.5,21.8,38.6
8.1,4,2,70,692,384.4,3,130,48.7,37.5
8.1,4,1,70,761,422.7,8.6,49.2,17.3,35.2
7.6,4,2,69,867,481.6,15.7,30.6,27.2,88.9
8,4,1,69,766,425.5,8.9,48,40.2,83.8
7.9,4,2,69,840,466.6,12,38.8,29.6,76.3
8.3,4,2,69,460.9,256,2.5,103,70.4,68.3
7.8,4,1,69,789,438.3,7.6,57.3,34.7,60.6
8.3,4,2,69,446.4,248,2.5,100,60.1,60.1
8.2,4,3,69,592,328.9,3.3,98.6,58,58.8
7.3,4,3,69,808,448.8,8.1,55.1,32.1,58.3
8.1,4,2,69,563,312.7,2.7,116,64.5,55.6
8,4,1,69,795,441.6,7.1,61.9,33,53.3
8.1,4,2,69,606,336.6,2.6,128,67,52.3
7.7,5,1,69,725,402.7,6.5,61.9,29.3,47.3
7.6,4,1,69,739,410.5,9.1,45.1,21.3,47.2
8.4,4,1,69,746.4,414.6,6.2,66.7,29,43.5
7.5,5,1,69,714,396.6,4.8,83.5,35.6,42.6
7.9,4,1,69,761,422.7,8.4,50.5,21.5,42.6
7.6,4,1,69,860,477.7,10.3,46.3,16.4,35.4
8.3,4,1,69,788,437.7,6.7,65.4,17,26
8.1,4,1,68.6,777,431.6,9,48.1,13.1,27.2
8.2,4,1,68.6,781.3,434,8.3,52.5,13.1,25
8,4,1,68.4,839.2,466.2,6.4,73.1,32.2,44
8.1,4,1,68.2,777.1,431.7,6.3,68.9,20.5,29.8
7.9,5,1,68,700,388.9,5.4,72.6,44.1,60.7
7.6,5,1,68,676,375.5,4.5,82.8,45.9,55.4
8.1,4,3,68,564,313.3,3.1,102,51.9,50.9
7.9,4,1,68,812,451.1,7.7,58.9,29.5,50.1
7.4,4,2,68,794,441.1,7.5,58.7,26,44.3
7.9,4,1,68,745,413.8,8.1,51.4,20.3,39.5
8,4,1,67.5,730.4,405.7,6.8,59.3,19.3,32.5
8.3,4,2,67,414.9,230.5,2.5,93.7,63.3,67.6
8.8,4,2,67,604,335.5,2.2,150,85.4,56.9
8,4,1,67,782,434.4,7.1,61.2,34.8,56.9
7.5,5,1,67,705,391.6,5.8,68.1,36.1,53
7.9,4,2,67,855,475,8.5,56,27.7,49.5
8,4,1,67,834.3,463.5,11.5,40.3,14.9,37
7.6,4,1,67,845,469.4,2.3,206,25.4,12.3
8.3,4,2,66,720,400,3.6,111,81.3,73.2
8.4,4,2,66,415.2,230.6,2.3,98.9,65.5,66.2
7.6,5,1,66,718,398.8,6.4,62.3,37.1,59.6
8.2,4,3,66,569,316.1,2.8,111,65.7,59.2
8.3,4,2,66,496,275.5,2.4,116,63.3,54.6
7.7,4,2,66,787,437.2,6.3,69.7,34.2,49.1
7.7,4,1,66,785,436.1,7.2,60.9,28.9,47.5
8.1,4,1,66,707,392.7,3.9,99.5,45,45.2
7.6,4,1,66,850,472.2,12,39.5,16.9,42.8
8.4,4,1,66,731.8,406.5,6.2,65.2,21.2,32.5
8.2,5,1,65.6,522,290,2.5,114,38.5,33.8
7.6,4,1,65.4,826,458.8,2,226,26,11.5
8.2,4,3,65,529,293.9,2.7,108,66.6,61.7
8.2,4,3,65,537,298.3,2.8,107,64.4,60.2
8.1,4,3,65,549,305,2.8,109,65.3,59.9
8.4,4,3,65,552,306.6,2.7,112,60.6,54.1
7.5,4,1,65,788,437.7,7.8,55.8,28.3,50.7
7.6,5,1,65,776,431.1,6.9,62.3,30.5,49
8,4,1,65,803,446.1,8,56,27,48.2
7.6,5,1,65,770,427.7,5.7,75.2,35.3,46.9
7.8,4,1,65,791,439.4,11.8,37.2,16.7,44.9
8.5,4,2,65,636,353.3,2.7,130,58.3,44.8
7.6,4,1,65,858,476.6,12.3,38.9,16.7,42.9
8.2,5,2,65,632,351.1,4.4,80.7,33.1,41
7.8,4,1,65,804,446.6,8.5,52.6,20.4,38.8
8.1,4,1,65,704.6,391.4,5.8,67.7,24.6,36.3
7.7,4,1,65,814,452.2,8.7,51.7,18.4,35.6
8.2,4,2,64,709,393.8,3.4,117,85,72.6
8.1,4,3,64,615,341.6,3.2,106,66.1,62.4
8.6,4,3,64,572,317.7,2.8,113,70.4,62.3
7.7,4,2,64,786,436.6,6.6,66.6,36.4,54.7
7.6,5,1,64,698,387.7,5.2,74.5,38.4,51.5
8.5,4,1,64,662.5,368,5.6,65.6,32.8,50
7.9,4,1,64,760,422.2,4.2,99.7,49.1,49.2
8.2,4,3,64,515,286.1,2.6,108,50,46.3
8.3,4,2,64,613,340.5,2.8,123,56.4,45.9
8.3,4,1,64,777,431.6,7.6,56.5,22.7,40.2
7.8,4,1,64,804,446.6,7.7,58.1,20.4,35.1
8.2,4,1,63.2,699.1,388.4,4.9,79.2,31.7,40
8.1,4,3,63,635,352.7,4.2,84,75.8,90.2
8.3,4,3,63,492,273.3,2.5,110,76.3,69.4
8.3,4,3,63,566,314.4,2.6,122,78.8,64.6
8.1,4,2,63,474.6,263.6,2.5,107,69,64.5
8.1,4,2,63,847,470.5,5.1,93.1,53.1,57
8.1,4,1,63,813,451.6,6.9,65.9,36.3,55.1
8.3,4,3,63,612,340,3.1,111,60.8,54.8
8.3,4,3,63,566,314.4,2.8,114,61.2,53.7
8,4,1,63,852,473.3,6.8,69.3,35.7,51.5
7.9,4,1,63,862,478.8,15.2,31.6,16.2,51.3
7.5,4,2,63,788,437.7,7.1,61.7,30.8,49.9
8,4,2,63,607,337.2,8.2,40.9,19.7,48.2
8.9,4,2,63,579,321.6,2.5,129,61.7,47.8
7.7,4,1,63,887,492.7,14.9,33.1,15.1,45.6
7.4,4,2,63,807,448.3,6.3,71.1,24.1,33.9
8.3,4,1,63,714.3,396.8,6.4,61.9,20.6,33.3
8.2,4,2,62.8,717,398.3,3.4,115.7,81.7,70.6
8,4,1,62.6,741.2,411.7,6.1,67.1,22.4,33.4
7.7,4,1,62.4,837,465,2.6,177,32.1,18.1
8.1,4,1,62.2,673.6,374.2,4.3,86.8,33.8,38.9
8.3,4,1,62.2,739.5,410.8,6.6,62.7,20.9,33.3
7.9,5,1,62,776,431.1,5.1,83.9,56.6,67.5
8.2,4,3,62,605,336.1,3.5,95.8,60.2,62.8
7.5,4,3,62,787,437.2,6.4,68.5,42.3,61.8
8.7,4,3,62,761,422.7,8.9,47.7,29.4,61.6
8.3,4,3,62,573,318.3,2.8,115,70.8,61.6
8.2,4,1,62,716,397.7,7.4,53.5,29.3,54.8
7.7,5,1,62,551,306.1,2.9,106,56.7,53.5
7.9,4,2,62,846,470,6.9,68.2,36.1,52.9
8.2,4,2,62,604,335.5,3.4,99,48.4,48.9
7.6,4,1,62,837,465,8.9,52.5,25.5,48.6
7.5,4,1,62,789,438.3,7.7,56.6,25.3,44.7
7.5,4,2,62,813,451.6,7,64.4,27.8,43.2
7.5,4,1,62,829,460.5,9.6,48.1,17.3,36
8.2,4,1,62,746,414.4,6.4,64.4,21.2,32.9
7.6,4,1,62,844,468.8,2.5,190,25.8,13.6
7.7,5,2,61.8,683,379.4,5,75.2,33.1,44
8.2,4,1,61.7,693.7,385.4,4.2,91.1,55.4,60.8
8.4,4,1,61.3,787.9,437.7,7.5,58.7,21.2,36.1
8,4,2,61.2,568.6,315.9,3.1,100.8,47.1,46.7
8.1,5,3,61,583,323.9,3.5,93,64.3,69.1
8.4,4,2,61,900,500,3.6,139,90.6,65.2
8.5,4,3,61,577,320.5,2.9,110,69.2,62.9
8.7,4,3,61,570,316.6,2.7,116,72.2,62.2
7.8,5,1,61,714,396.6,4.7,84.6,49,57.9
8.9,4,2,61,655,363.9,2.3,158,80.4,50.9
7.9,4,1,61,739,410.5,3.8,107,53.9,50.4
7.5,4,2,61,796,442.2,8.1,54.3,27.1,49.9
7.8,4,2,61,778,432.2,6.8,63.3,30.8,48.7
7.8,4,2,61,567.2,315.1,3.2,98.9,46.1,46.6
7.9,5,1,61,764,424.4,4.8,87.8,39.1,44.5
8.1,4,1,61,702,390,4.5,86.2,36.3,42.1
7.7,4,1,61,828,460,8.3,55.2,21.9,39.7
8.2,4,1,61,784,435.5,7.7,56.9,22.4,39.4
7.9,4,1,60.9,719,399.4,5.5,72.3,50.1,69.3
7.8,4,1,60.2,682,378.9,5.4,70.6,47.2,66.9
8.3,4,3,60,552,306.6,3.3,94.2,63.5,67.4
8.4,4,2,60,750,416.6,2.9,142,91.8,64.6
8.3,4,3,60,600,333.3,2.6,129,75.7,58.7
7.6,5,1,60,696,386.6,5.4,72,41.2,57.2
8.1,4,2,60,903,501.6,8.9,56.4,32.2,57.1
7.5,4,1,60,820,455.5,8.4,54.4,28,51.5
7.7,5,1,60,719,399.4,4.2,95.7,42,43.9
7.6,4,2,60,796,442.2,6.6,67.3,28.3,42.1
8,4,1,60,820,455.5,7.9,58,22.1,38.1
8.2,4,2,60,613,340.5,1.8,190,55.7,29.3
8.1,4,1,59.2,630,350,4.7,74.5,49.3,66.2
8.7,4,2,59.2,562.5,312.5,3.1,100.8,50,49.6
8.2,4,2,59.1,614.2,341.2,3.5,96.4,52.5,54.5
7.9,5,3,59,586,325.5,4.2,76.6,57,74.4
7.8,4,2,59,728,404.4,4.4,92.5,63.2,68.3
8.4,4,2,59,474.6,263.6,2.3,113.7,68.5,60.2
7.9,4,1,59,778,432.2,6.5,67,38.4,57.3
7.5,5,1,59,763,423.8,6.4,66.3,36.1,54.4
8.2,4,2,59,704,391.1,3.2,124,65.4,52.7
8.1,5,1,59,799,443.8,4.4,102,43.2,42.4
7.9,4,2,59,785,436.1,7,62.7,23.2,37
8.3,4,1,59,727.1,403.9,7,57.6,15.3,26.6
8.2,4,3,58.8,692,384.4,13.5,28.4,12.5,44
8.2,4,2,58.5,559,310.5,3,104.3,43.1,41.3
8.6,4,2,58,727,403.8,2.6,153,101.9,66.6
8.4,4,3,58,633,351.6,3.9,90.2,59.1,65.5
7.3,4,2,58,780,433.3,6.2,69.8,40.8,58.5
8.2,5,3,58,583,323.9,2.9,112,64.3,57.4
8.4,5,3,58,577,320.5,4.2,77,41,53.2
8.1,5,3,58,585,325,3.2,103,54.3,52.7
7.4,5,1,58,754,418.8,5.9,71.4,35.9,50.3
8.4,4,2,58,608,337.7,2.7,124,60.4,48.7
7.8,4,2,58,784,435.5,6.3,68.6,32.1,46.8
8.6,4,2,58,608,337.7,2.4,142,64.8,45.6
8.3,4,2,58,619,343.9,2.7,128,57.6,45
7.9,4,2,58,792,440,6,73.3,31.2,42.6
9,4,2,58,645,358.3,2.5,143,58.6,41
8.4,4,1,58,672.4,373.5,4.9,75.9,29.3,38.6
7.7,4,2,58,612,340,3.5,98.2,0.1,0.1
8.1,4,2,57.7,565,313.9,3.1,99.8,44.9,45
7.8,4,2,57.7,561.5,311.9,3.2,99,39.5,39.9
7.6,5,2,57.6,722,401.1,5.6,72,34.4,47.8
8.3,4,2,57.3,492.1,273.4,2.2,122.5,72.8,59.4
8.1,5,3,57,572,317.7,3.4,94.2,75.1,79.7
7.7,4,2,57,757,420.5,4,105,77,73.3
7.9,4,2,57,689,382.7,5.2,73,49,67.1
8.8,4,2,57,539,299.4,2,153,90.8,59.3
8.3,4,2,57,711,395,2.5,155,91.2,58.8
7.8,4,2,57,749,416.1,5.2,79.8,40.8,51.1
8.2,4,2,57,699,388.3,4.1,94,44,46.8
7.7,5,1,57,738,410,5.5,74.9,33.2,44.3
7.6,4,2,57,797,442.7,6.7,66.3,28.5,43
8.1,4,1,57,757,420.5,6.9,61.1,25.7,42.1
7.7,4,1,57,813,451.6,8.1,55.9,22.1,39.5
8.1,4,2,57,822,456.6,3.5,132,38.3,29
7.9,5,1,56.6,651,361.6,2.5,145,81.2,56
8.3,4,1,56.6,729.7,405.3,9.6,42.4,10.6,25
8.3,4,3,56.2,578,321.1,2.9,112,70.6,63
8,4,1,56.2,774,430,5.8,73.5,41.3,56.2
8.2,5,2,56.2,687,381.6,4,94.9,43.9,46.3
8,4,2,56,707,392.7,3.9,101,75.9,75.1
7.9,4,2,56,628,348.9,3.7,94,64.7,68.8
8,4,1,56,743,412.7,7.2,57.2,38.1,66.6
8.1,5,3,56,580,322.2,2.7,120,75.4,62.8
8,5,1,56,575,319.4,3.4,95,59.6,62.7
8.3,4,2,56,482.1,267.8,2.2,122.5,67.3,54.9
8.2,4,1,56,755,419.4,3.9,108,58.5,54.2
7.9,4,2,56,683,379.4,4.1,92.3,48.8,52.9
8.7,5,1,56,631,350.5,2.7,130,68.6,52.8
7.8,4,2,56,759,421.6,3.8,110,54.1,49.2
8.3,4,2,56,701,389.4,3.5,110,52.6,47.8
8.5,4,2,56,568,315.5,2.4,133,60.6,45.6
7.6,4,2,56,790,438.8,6.3,69.8,31.8,45.6
8.2,4,1,56,758,421.1,6.8,61.5,25.6,41.6
8.7,4,3,56,710,394.4,7.3,54.1,21.6,39.9
7.9,4,2,56,728,404.4,4.9,82.7,31.3,37.8
7.9,4,2,55.7,712,395.5,3.2,124,70,56.5
8.3,4,2,55,732,406.6,2.9,140,87.1,62.2
8.4,4,2,55,747,415,3.5,120,72.7,60.6
7,4,3,55,788,437.7,5.8,75.6,44.9,59.4
8.2,4,3,55,547,303.9,2.5,120,69.3,57.8
8.1,4,2,55,817,453.8,3.3,138,78.7,57
7.9,5,1,55,761,422.7,4.7,89.3,47.7,53.4
7.4,4,1,55,800,444.4,7.6,58.3,30.4,52.1
7.7,4,2,55,825,458.3,5.7,80,41.7,52.1
8,4,1,55,759,421.6,3.8,111,57.7,52
8.2,4,1,55,730,405.5,3.8,108,55.7,51.6
7.7,4,1,55,846,470,11.5,40.9,20.8,50.9
8,4,1,55,746,414.4,3.8,109,54.7,50.2
7.9,4,1,55,800,444.4,6.7,66.1,31.9,48.3
7.9,4,2,55,612,340,4.6,73.5,34,46.3
8.2,4,2,55,709,393.8,3.2,124,55.6,44.8
8,4,1,55,755,419.4,5.9,70.9,24.6,34.7
8.3,4,1,55,701.8,389.8,5.1,76.4,23.6,30.9
8.2,4,3,54.2,500,277.8,2.6,108,71.9,66.6
8,4,1,54.1,757,420.5,4.9,86.6,46.4,53.6
8,5,3,54,590,327.7,3,111,77.6,69.9
8,4,2,54,603,335,4.6,73.1,46.5,63.6
8,4,3,54,775,430.5,3.1,140,88.1,62.9
7.4,4,2,54,735,408.3,3.6,113,69.3,61.3
8.1,4,2,54,734,407.7,3,134,81.1,60.5
8,5,3,54,588,326.6,3,109,64.3,59
7.9,4,1,54,769,427.2,5.8,73.3,43,58.7
8.5,4,3,54,767,426.1,5.3,80.9,46.7,57.7
7.6,4,1,54,825,458.3,8.2,56.1,29.1,51.9
8.4,4,2,54,718,398.8,2.5,159,81.3,51.1
7.9,4,2,54,688,382.2,4.1,92.6,46,49.7
7.7,5,1,54,734,407.7,5.8,70.6,34.6,49
7.5,4,2,54,802,445.5,6.6,67.4,30.9,45.8
8.7,4,3,54,465,258.3,4.2,61.7,27.8,45.1
8.2,4,2,54,702,390,3.2,120,53.9,44.9
7.8,4,1,54,758,421.1,6.6,63.7,28.6,44.9
8,4,2,54,679,377.2,4.8,78.5,34.8,44.3
7.9,5,1,54,726,403.3,4.5,90,35.9,39.9
8.1,4,2,54,558,310,2.4,130,10.2,7.8
8,4,2,53.7,712,395.5,3.1,126.9,91.2,71.9
8,4,2,53.7,711.4,395.2,3.1,127,91.2,71.8
7.6,4,1,53.3,803,446.1,7.5,59.4,32.3,54.4
8,4,1,53,707,392.7,4.2,92.5,70.4,76.1
8.1,4,2,53,541,300.5,2.7,110,83.4,75.8
8.1,4,2,53,558,310,3.9,78.9,57,72.2
8.1,4,2,53,439,243.9,2,120,80.2,66.8
